input,output
4.600000000000000000e+01,-5.009703040122985840e-01
4.700000000000000000e+01,-3.913830518722534180e-01
4.800000000000000000e+01,-2.739681601524353027e-01
4.900000000000000000e+01,-1.487255692481994629e-01
5.000000000000000000e+01,-2.348297834396362305e-02
5.100000000000000000e+01,1.017595529556274414e-01
5.200000000000000000e+01,2.270021438598632812e-01
5.300000000000000000e+01,3.444170951843261719e-01
5.400000000000000000e+01,4.618320465087890625e-01
5.500000000000000000e+01,5.635915994644165039e-01
5.600000000000000000e+01,6.653511524200439453e-01
5.700000000000000000e+01,7.514554262161254883e-01
5.800000000000000000e+01,8.297320604324340820e-01
5.900000000000000000e+01,8.923532962799072266e-01
6.000000000000000000e+01,9.393193721771240234e-01
6.100000000000000000e+01,9.784575700759887695e-01
6.200000000000000000e+01,9.941129684448242188e-01
6.300000000000000000e+01,9.941129684448242188e-01
6.400000000000000000e+01,9.862853288650512695e-01
6.500000000000000000e+01,9.628022909164428711e-01
6.600000000000000000e+01,9.158363342285156250e-01
6.700000000000000000e+01,8.610427379608154297e-01
6.800000000000000000e+01,7.905937433242797852e-01
6.900000000000000000e+01,7.123171091079711914e-01
7.000000000000000000e+01,6.183851957321166992e-01
7.100000000000000000e+01,5.087980031967163086e-01
7.200000000000000000e+01,3.992106914520263672e-01
7.300000000000000000e+01,2.817957401275634766e-01
7.400000000000000000e+01,1.643809080123901367e-01
7.500000000000000000e+01,3.913831710815429688e-02
7.600000000000000000e+01,-8.610427379608154297e-02
7.700000000000000000e+01,-2.113468647003173828e-01
7.800000000000000000e+01,-3.287617564201354980e-01
7.900000000000000000e+01,-4.461766481399536133e-01
8.000000000000000000e+01,-5.557639598846435547e-01
8.100000000000000000e+01,-6.575235128402709961e-01
8.200000000000000000e+01,-7.436277866363525391e-01
8.300000000000000000e+01,-8.219044208526611328e-01
8.400000000000000000e+01,-8.845257163047790527e-01
8.500000000000000000e+01,-9.393193125724792480e-01
8.600000000000000000e+01,-9.706299901008605957e-01
8.700000000000000000e+01,-9.941129684448242188e-01
8.800000000000000000e+01,-1.001940608024597168e+00
8.900000000000000000e+01,-9.862852692604064941e-01
9.000000000000000000e+01,-9.628022909164428711e-01
9.100000000000000000e+01,-9.236639738082885742e-01
9.200000000000000000e+01,-8.688703775405883789e-01
9.300000000000000000e+01,-7.984214425086975098e-01
9.400000000000000000e+01,-7.201448082923889160e-01
9.500000000000000000e+01,-6.262128949165344238e-01
9.600000000000000000e+01,-5.244532823562622070e-01
9.700000000000000000e+01,-4.148660302162170410e-01
9.800000000000000000e+01,-2.974511384963989258e-01
9.900000000000000000e+01,-1.722085475921630859e-01
1.000000000000000000e+02,-4.696595668792724609e-02
1.010000000000000000e+02,7.827663421630859375e-02
1.020000000000000000e+02,2.035192251205444336e-01
1.030000000000000000e+02,3.209340572357177734e-01
1.040000000000000000e+02,4.383490085601806641e-01
1.050000000000000000e+02,5.479363203048706055e-01
1.060000000000000000e+02,6.418682336807250977e-01
1.070000000000000000e+02,7.358001470565795898e-01
1.080000000000000000e+02,8.140767812728881836e-01
1.090000000000000000e+02,8.845256567001342773e-01
1.100000000000000000e+02,9.314916133880615234e-01
1.110000000000000000e+02,9.706299304962158203e-01
1.120000000000000000e+02,9.941129684448242188e-01
1.130000000000000000e+02,9.941129684448242188e-01
1.140000000000000000e+02,9.941129684448242188e-01
1.150000000000000000e+02,9.706299304962158203e-01
1.160000000000000000e+02,9.314916133880615234e-01
1.170000000000000000e+02,8.766980171203613281e-01
1.180000000000000000e+02,8.062491416931152344e-01
1.190000000000000000e+02,7.279725074768066406e-01
1.200000000000000000e+02,6.340405941009521484e-01
1.210000000000000000e+02,5.322809219360351562e-01
1.220000000000000000e+02,4.226937294006347656e-01
1.230000000000000000e+02,3.052787780761718750e-01
1.240000000000000000e+02,1.878638267517089844e-01
1.250000000000000000e+02,6.262123584747314453e-02
1.260000000000000000e+02,-6.262129545211791992e-02
1.270000000000000000e+02,-3.052787780761718750e-01
1.280000000000000000e+02,-4.226936697959899902e-01
1.290000000000000000e+02,-5.322809219360351562e-01
1.300000000000000000e+02,-6.340405344963073730e-01
1.310000000000000000e+02,-7.279725074768066406e-01
1.320000000000000000e+02,-8.062490820884704590e-01
1.330000000000000000e+02,-8.766980171203613281e-01
1.340000000000000000e+02,-9.314916729927062988e-01
1.350000000000000000e+02,-9.706299901008605957e-01
1.360000000000000000e+02,-9.941129684448242188e-01
1.370000000000000000e+02,-1.001940608024597168e+00
1.380000000000000000e+02,-9.941129684448242188e-01
1.390000000000000000e+02,-9.706299901008605957e-01
