input,output
6.300000000000000000e+01,9.980267286300659180e-01
6.400000000000000000e+01,9.822871685028076172e-01
6.500000000000000000e+01,9.510566592216491699e-01
6.600000000000000000e+01,9.048268198966979980e-01
6.700000000000000000e+01,8.443281054496765137e-01
6.800000000000000000e+01,7.705128192901611328e-01
6.900000000000000000e+01,6.845473051071166992e-01
7.000000000000000000e+01,5.877847075462341309e-01
7.100000000000000000e+01,4.817538559436798096e-01
7.200000000000000000e+01,3.681246638298034668e-01
7.300000000000000000e+01,2.486899644136428833e-01
7.400000000000000000e+01,1.253332495689392090e-01
7.500000000000000000e+01,-2.384976127700610959e-08
7.600000000000000000e+01,-1.253333091735839844e-01
7.700000000000000000e+01,-2.486900091171264648e-01
7.800000000000000000e+01,-3.681247234344482422e-01
7.900000000000000000e+01,-4.817538559436798096e-01
8.000000000000000000e+01,-5.877854824066162109e-01
8.100000000000000000e+01,-6.845473051071166992e-01
8.200000000000000000e+01,-7.705134749412536621e-01
8.300000000000000000e+01,-8.443281650543212891e-01
8.400000000000000000e+01,-9.048272371292114258e-01
8.500000000000000000e+01,-9.510563611984252930e-01
8.600000000000000000e+01,-9.822873473167419434e-01
8.700000000000000000e+01,-9.980267882347106934e-01
8.800000000000000000e+01,-9.980266690254211426e-01
8.900000000000000000e+01,-9.822872877120971680e-01
9.000000000000000000e+01,-9.510563015937805176e-01
9.100000000000000000e+01,-9.048267006874084473e-01
9.200000000000000000e+01,-8.443279862403869629e-01
9.300000000000000000e+01,-7.705132365226745605e-01
9.400000000000000000e+01,-6.845463514328002930e-01
9.500000000000000000e+01,-5.877844095230102539e-01
9.600000000000000000e+01,-4.817535281181335449e-01
9.700000000000000000e+01,-3.681243658065795898e-01
9.800000000000000000e+01,-2.486887127161026001e-01
9.900000000000000000e+01,-1.253329515457153320e-01
1.000000000000000000e+02,3.496911062939034309e-07
1.010000000000000000e+02,1.253336220979690552e-01
1.020000000000000000e+02,2.486912608146667480e-01
1.030000000000000000e+02,3.681250214576721191e-01
1.040000000000000000e+02,4.817541539669036865e-01
1.050000000000000000e+02,5.877857208251953125e-01
1.060000000000000000e+02,6.845468878746032715e-01
1.070000000000000000e+02,7.705137133598327637e-01
1.080000000000000000e+02,8.443283438682556152e-01
1.090000000000000000e+02,9.048269987106323242e-01
1.100000000000000000e+02,9.510564804077148438e-01
1.110000000000000000e+02,9.822874069213867188e-01
1.120000000000000000e+02,9.980267882347106934e-01
1.130000000000000000e+02,9.980267286300659180e-01
1.140000000000000000e+02,9.822872281074523926e-01
1.150000000000000000e+02,9.510561823844909668e-01
1.160000000000000000e+02,9.048269391059875488e-01
1.170000000000000000e+02,8.443277478218078613e-01
1.180000000000000000e+02,7.705129981040954590e-01
1.190000000000000000e+02,6.845461726188659668e-01
1.200000000000000000e+02,5.877849459648132324e-01
1.210000000000000000e+02,4.817532896995544434e-01
1.220000000000000000e+02,3.681240677833557129e-01
1.230000000000000000e+02,2.486902475357055664e-01
1.240000000000000000e+02,1.253326237201690674e-01
1.250000000000000000e+02,-6.755324761797965039e-07
1.260000000000000000e+02,-1.253339499235153198e-01
1.270000000000000000e+02,-2.486897259950637817e-01
1.280000000000000000e+02,-3.681253194808959961e-01
1.290000000000000000e+02,-4.817544221878051758e-01
1.300000000000000000e+02,-5.877844691276550293e-01
1.310000000000000000e+02,-6.845477819442749023e-01
1.320000000000000000e+02,-7.705138921737670898e-01
1.330000000000000000e+02,-8.443285226821899414e-01
1.340000000000000000e+02,-9.048267006874084473e-01
1.350000000000000000e+02,-9.510568976402282715e-01
1.360000000000000000e+02,-9.822874665260314941e-01
1.370000000000000000e+02,-9.980266690254211426e-01
1.380000000000000000e+02,-9.980267882347106934e-01
1.390000000000000000e+02,-9.822869896888732910e-01
1.400000000000000000e+02,-9.510560631752014160e-01
1.410000000000000000e+02,-9.048272371292114258e-01
1.420000000000000000e+02,-8.443281054496765137e-01
1.430000000000000000e+02,-7.705122232437133789e-01
1.440000000000000000e+02,-6.845472455024719238e-01
1.450000000000000000e+02,-5.877854228019714355e-01
1.460000000000000000e+02,-4.817537963390350342e-01
1.470000000000000000e+02,-3.681228756904602051e-01
1.480000000000000000e+02,-2.486899346113204956e-01
1.490000000000000000e+02,-1.253332346677780151e-01
1.500000000000000000e+02,4.769952255401221919e-08
1.510000000000000000e+02,1.253333240747451782e-01
